,team,TotalElo,HomeTotalElo,HomeWins,AwayWins,AwayTotalElo,HomeAttackElo,HomeDefenseElo,AwayAttackElo,AwayDefenseElo,AttHS,AttHST,AttHC,AttHF,AttHY,AttHR,AttFTHG,AttHTHG,AttCHS,AttCHST,AttCHC,AttCHF,AttCHY,AttCHR,AttCFTHG,AttCHTHG,AttAS,AttAST,AttAC,AttAF,AttAY,AttAR,AttFTAG,AttHTAG,AttCAS,AttCAST,AttCAC,AttCAF,AttCAY,AttCAR,AttCFTAG,AttCHTAG,ser
79,Reggiana,4.55,4.7,A,A,4.4,3.5,5.5,3.5,5.0,12.15,4.08,3.85,15.77,2.92,0.08,1.0,0.62,12.54,4.0,3.31,16.31,3.38,0.0,1.08,0.54,11.46,4.15,3.77,16.62,2.92,0.08,0.92,0.23,13.92,4.0,5.23,15.23,2.31,0.0,1.23,0.38,serieb
108,Reims,2.55,2.6,A,A,2.5,1.5,7.0,2,4.5,11.67,3.08,3.92,12.0,2.25,0.17,1.08,0.67,12.42,4.92,4.0,11.08,2.0,0.0,1.58,0.92,11.82,3.45,4.91,11.73,2.0,0.18,1.18,0.55,14.64,5.73,5.82,12.09,1.18,0.0,1.45,0.45,ligue1
114,Rennes,5.7,8.8,A,A,2.6,9.0,8.0,2.0,5.0,13.85,4.77,5.85,12.92,1.92,0.08,1.54,0.85,8.69,2.54,3.23,12.38,2.31,0.31,0.85,0.46,10.6,4.6,4.2,13.3,2.6,0.1,1.0,0.4,12.7,5.2,3.3,12.4,1.8,0.1,2.1,1.0,ligue1
132,Rio Ave,3.55,4.4,A,A,2.7,3.5,5.0,0,4.5,11.55,4.09,4.91,13.91,1.55,0.09,1.55,0.91,14.18,4.36,5.82,14.36,1.91,0.0,1.45,0.55,9.09,2.45,3.73,13.18,2.45,0.18,0.64,0.18,17.27,6.18,6.18,13.64,2.27,0.09,1.82,1.09,portugal
141,Roma,5.0,7.0,A,A,3.0,7.0,7.0,2.0,7.0,14.5,5.08,4.08,11.42,1.75,0.0,2.0,0.67,10.5,3.92,3.5,13.42,2.5,0.08,1.0,0.5,12.23,4.0,4.31,11.38,2.08,0.08,0.92,0.38,12.69,4.46,4.23,13.85,2.31,0.08,1.31,0.54,seriea
115,Ross County,3.95,4.8,A,A,3.1,1.5,7.0,1,4.5,11.62,3.46,4.92,10.77,1.54,0.0,1.23,0.31,13.23,4.54,6.08,11.69,1.38,0.15,1.62,0.62,9.46,3.0,4.23,10.54,2.08,0.15,0.85,0.38,17.08,5.77,8.0,9.85,0.85,0.0,2.0,1.08,scotchamp
66,Rotherham,5.95,7.2,A,A,4.7,7.5,7.0,0.5,7.5,14.13,4.87,6.73,12.87,1.93,0.0,1.6,0.67,10.13,3.2,3.2,14.2,2.0,0.13,1.07,0.53,11.25,3.62,4.94,11.31,1.38,0.0,0.69,0.31,13.38,4.94,4.81,11.38,1.75,0.06,1.31,0.56,leagueOne
73,Salernitana,4.9,6.3,A,A,3.5,7.5,5.5,0.5,5.5,16.23,5.46,5.69,14.46,2.69,0.23,1.31,0.46,10.15,3.46,3.38,14.0,2.46,0.08,1.31,0.92,9.38,3.08,3.54,14.69,2.62,0.08,0.62,0.15,13.92,4.46,3.15,14.54,1.38,0.08,1.46,0.54,serieb
29,Salford,5.65,7.5,A,A,3.8,7.5,7.5,2,5.0,14.75,4.94,4.75,13.19,1.81,0.19,1.38,0.56,9.31,3.0,4.38,12.56,2.0,0.0,0.94,0.5,10.0,3.47,3.07,14.33,3.33,0.07,1.07,0.33,12.87,3.73,5.93,10.73,1.87,0.0,1.0,0.33,leagueTwo
82,Sampdoria,4.95,6.2,A,A,3.7,5,7.0,4,3.5,14.54,4.31,4.38,12.46,2.77,0.23,0.77,0.46,13.23,4.08,4.54,15.54,3.0,0.15,0.85,0.15,11.38,3.54,4.31,13.77,2.23,0.08,1.54,0.77,16.38,6.62,4.85,14.23,1.69,0.15,2.0,0.77,serieb
130,Santa Clara,5.4,6.5,A,A,4.3,6.5,6.5,2.5,5.5,13.25,4.75,5.08,15.42,2.83,0.25,1.0,0.5,7.92,3.0,2.83,14.5,3.42,0.08,0.92,0.58,8.2,3.5,3.1,16.3,3.0,0.0,1.3,0.5,12.9,4.0,4.5,12.4,2.2,0.1,1.2,0.5,portugal
83,Sassuolo,6.75,7.8,A,A,5.7,9.0,7.0,6,5.5,14.62,6.31,4.69,13.38,1.31,0.0,2.62,0.77,11.62,3.54,3.85,12.15,2.23,0.0,0.92,0.54,12.54,5.0,3.62,11.54,2.54,0.15,1.85,0.77,14.92,4.69,3.77,13.85,1.62,0.08,1.0,0.46,serieb
6,Schalke 04,7.0,7.8,A,A,6.2,9.0,7.0,5.0,7.0,16.36,6.18,4.73,9.55,2.36,0.09,2.18,1.27,13.27,6.0,3.82,11.64,3.0,0.0,2.36,1.18,13.09,3.91,4.18,11.55,2.45,0.09,1.36,0.45,13.0,4.36,3.82,10.55,2.64,0.18,1.36,0.82,bundesliga2
95,Sevilla,4.7,6.1,A,A,3.3,6.0,6.5,2.5,6.5,13.67,4.33,5.67,12.92,3.25,0.25,0.92,0.42,8.92,2.92,3.42,12.17,3.0,0.17,1.17,0.42,10.92,3.75,4.75,11.5,2.33,0.17,1.5,0.67,12.0,4.5,5.25,9.92,1.58,0.08,1.67,0.92,laliga
61,Sheffield United,6.65,8.4,A,A,4.9,8.5,8.0,4.5,6.5,14.69,4.5,6.31,11.75,2.38,0.06,1.5,0.81,9.75,2.69,4.81,11.75,1.94,0.12,0.62,0.31,10.82,3.82,4.59,10.94,2.0,0.06,1.35,0.65,11.35,3.53,5.94,10.47,1.82,0.12,0.76,0.41,championship
51,Sheffield Weds,6.0,7.1,A,A,4.9,7.0,7.5,4.5,6.5,14.35,4.47,7.12,10.94,1.35,0.06,1.53,0.59,11.41,4.18,3.76,11.35,2.06,0.0,1.47,0.41,11.53,3.59,6.47,13.18,2.06,0.06,1.18,0.18,11.59,3.53,6.06,11.59,1.47,0.12,1.71,0.76,championship
58,Shrewsbury,4.65,4.8,A,A,4.5,1.5,7.0,1.5,6.5,9.2,3.07,4.33,13.0,2.07,0.07,1.2,0.6,10.87,4.33,4.53,11.73,2.07,0.0,1.73,0.6,9.06,2.81,4.38,12.62,2.25,0.0,0.94,0.25,12.31,4.19,5.31,10.31,1.69,0.06,1.69,0.62,leagueOne
91,Sociedad,3.85,5.9,A,A,1.8,6.0,5.5,0.5,7.0,11.62,4.38,6.23,13.85,2.46,0.08,1.15,0.54,10.0,3.31,4.15,12.0,2.62,0.0,1.0,0.31,9.5,2.75,5.25,13.08,2.5,0.17,0.67,0.25,12.17,3.33,4.83,11.83,2.17,0.0,0.83,0.5,laliga
34,Southampton,1.1,0.8,A,A,1.4,0,4.0,1,3.0,9.38,3.46,3.46,11.54,2.23,0.23,0.69,0.46,18.92,8.23,6.54,11.85,2.15,0.0,2.85,1.31,9.69,2.77,5.23,13.23,3.31,0.0,0.77,0.23,17.15,5.92,6.23,12.54,1.15,0.08,1.85,1.08,prem
128,Sp Braga,7.1,7.2,A,A,7.0,9.0,6,7.0,7.0,14.36,5.64,7.0,14.45,1.73,0.09,2.09,1.0,9.27,4.27,3.09,12.18,2.45,0.18,1.36,0.18,12.55,4.0,5.64,13.18,2.09,0.0,1.36,0.36,10.91,3.45,4.27,12.36,3.18,0.27,0.45,0.18,portugal
121,Sp Lisbon,9.1,9.1,A,A,9.1,10.0,8.5,10.0,8.5,18.91,6.36,7.27,11.27,1.45,0.09,2.36,1.27,7.09,2.55,3.0,13.73,2.73,0.0,0.73,0.55,19.82,7.09,6.36,11.09,1.73,0.18,3.0,1.18,7.36,2.36,2.82,14.0,2.73,0.0,0.91,0.55,portugal
6,Sparta Rotterdam,3.8,5.8,A,A,1.8,5.5,7.0,1,5.0,14.36,4.55,5.73,9.18,1.55,0.18,0.82,0.36,11.91,4.0,5.36,9.91,1.82,0.09,1.55,0.73,13.33,4.5,4.17,9.75,1.92,0.08,0.83,0.17,15.67,5.25,6.17,7.67,1.08,0.08,1.33,0.5,ered
84,Spezia,6.5,7.5,A,A,5.5,9.0,6.5,5.5,5.5,17.0,5.83,6.33,18.58,2.33,0.0,2.0,0.83,8.33,2.67,3.17,17.42,3.17,0.08,0.75,0.5,13.57,4.21,4.57,16.86,2.36,0.07,1.21,0.71,13.57,3.57,4.36,15.64,2.71,0.0,0.64,0.36,serieb
118,St Etienne,1.85,2.9,A,A,0.8,2,6.5,0,4.0,12.45,3.82,3.36,13.0,2.0,0.0,1.27,0.27,13.55,4.64,6.18,10.27,1.91,0.0,1.27,0.64,7.42,2.83,3.0,13.75,1.92,0.17,0.75,0.25,18.0,8.08,5.92,12.5,1.25,0.08,3.25,1.67,ligue1
113,St Johnstone,4.0,4.2,A,A,3.8,1.5,6.0,2,5.0,12.33,4.17,4.67,10.0,1.5,0.17,1.17,0.33,13.58,5.17,7.75,11.75,2.0,0.33,1.92,0.92,8.71,2.71,3.14,11.14,1.93,0.14,1.07,0.36,14.36,4.57,5.93,12.29,1.71,0.07,2.0,0.93,scotchamp
111,St Mirren,5.35,6.3,A,A,4.4,6.0,6.5,3.5,5.0,12.21,3.71,5.36,11.86,2.14,0.07,1.07,0.57,11.64,3.64,5.21,8.36,2.36,0.14,1.07,0.43,9.92,3.58,3.58,14.25,2.67,0.25,1.25,0.92,12.58,4.42,5.08,9.92,1.5,0.08,2.0,0.75,scotchamp
74,St Pauli,2.85,3.2,A,A,2.5,2,8,1.5,6.5,11.82,3.18,3.82,9.73,1.09,0.0,0.64,0.27,9.18,3.82,4.27,11.73,2.64,0.0,1.09,0.45,10.25,3.0,3.75,11.25,2.08,0.08,0.92,0.42,12.83,4.83,6.0,9.25,1.92,0.08,1.25,0.67,bundesliga
102,St Truiden,4.45,4.8,A,A,4.1,4.5,5.0,2,5.5,15.46,4.92,6.08,9.46,1.69,0.08,1.38,0.69,15.08,5.08,5.69,9.15,2.08,0.15,1.54,0.85,11.31,3.77,4.46,10.31,1.92,0.23,1.08,0.31,15.38,4.85,6.54,7.23,1.23,0.08,2.31,1.15,jupiler
99,St. Gilloise,7.35,8.1,A,A,6.6,9.0,7.5,7.5,6,17.85,6.15,6.46,11.85,2.38,0.08,1.69,0.85,9.15,3.46,4.85,11.54,3.38,0.08,0.77,0.15,11.77,4.62,5.77,13.69,2.69,0.15,1.31,0.62,9.62,3.38,4.23,9.85,2.23,0.23,0.92,0.38,jupiler
105,Standard,3.05,3.7,A,A,2.4,1,5.5,0,4.0,11.62,4.08,4.23,9.54,1.15,0.0,0.92,0.46,14.08,4.46,5.23,10.92,2.38,0.15,0.62,0.15,9.62,2.62,3.0,11.85,2.08,0.08,0.62,0.31,17.0,5.38,7.38,9.15,1.46,0.0,1.62,0.69,jupiler
53,Stevenage,5.45,6.2,A,A,4.7,6.5,6,2,6.5,10.62,3.56,5.31,14.25,2.31,0.06,1.31,0.38,7.75,3.19,4.31,14.0,2.5,0.25,1.0,0.44,9.86,3.43,4.64,12.29,2.29,0.0,0.57,0.21,11.43,3.29,6.5,12.0,2.14,0.0,1.07,0.29,leagueOne
54,Stockport,8.7,9.0,A,A,8.4,9.0,9.0,9.0,8.0,14.25,5.06,5.31,11.0,1.69,0.0,1.69,0.88,7.0,2.5,2.5,13.19,2.06,0.0,1.0,0.62,11.44,5.31,4.81,12.94,2.19,0.06,1.38,0.75,8.56,2.69,4.5,12.19,2.06,0.0,0.88,0.5,leagueOne
50,Stoke,2.7,4.5,A,A,0.9,4,6.5,0,4.5,11.5,3.81,5.19,11.12,2.44,0.0,1.31,0.62,12.56,3.69,6.19,9.5,1.56,0.0,1.12,0.44,10.0,3.41,3.65,11.88,2.35,0.0,0.71,0.41,18.82,6.59,6.82,9.12,1.53,0.12,1.53,0.53,championship
122,Strasbourg,3.8,3.4,A,A,4.2,2.5,7.0,4,5.0,9.91,4.36,4.09,12.55,2.45,0.0,1.64,0.73,12.45,4.45,4.55,14.09,2.36,0.0,0.91,0.36,10.67,4.67,3.42,10.67,2.08,0.0,1.58,0.75,14.08,5.25,5.58,13.17,2.42,0.08,1.83,0.58,ligue1
79,Stuttgart,5.85,8.4,A,A,3.3,8.5,8,2.5,6.5,16.08,6.75,6.58,9.33,2.33,0.08,2.17,0.67,8.5,3.75,3.0,13.33,3.75,0.25,1.42,0.58,10.45,4.18,4.0,11.64,1.91,0.09,1.36,0.64,13.55,4.45,6.82,12.45,2.82,0.09,1.55,0.55,bundesliga
74,Sudtirol,4.3,5.7,A,A,2.9,6,5.5,2,3.5,13.08,4.46,4.69,14.23,1.85,0.0,1.31,0.69,10.92,3.85,4.69,15.08,1.92,0.0,1.69,0.77,11.15,3.0,4.0,15.85,2.54,0.15,1.08,0.54,15.77,4.15,5.54,14.92,1.85,0.08,1.62,0.85,serieb
64,Sunderland,6.9,8.9,A,A,4.9,9.0,8.5,4.5,6.5,14.59,4.76,5.88,9.35,1.94,0.06,1.65,0.94,8.47,2.65,3.88,13.35,2.35,0.12,0.76,0.35,12.12,4.41,4.71,11.53,2.41,0.12,1.29,0.47,12.41,3.59,5.47,12.53,2.18,0.06,1.06,0.29,championship
62,Swansea,4.9,7.2,A,A,2.6,7,8,1.5,7.0,11.29,4.41,4.59,10.82,1.41,0.06,1.41,1.0,9.71,3.12,4.65,13.47,2.82,0.06,1.12,0.41,9.65,2.94,5.53,9.59,1.88,0.0,0.76,0.41,12.94,4.41,5.24,12.71,1.47,0.0,1.59,0.59,championship
42,Swindon,6.5,8.0,A,A,5.0,8.0,8,2,7.0,13.07,3.53,5.73,9.6,1.33,0.07,1.73,0.93,9.4,3.2,4.8,10.13,1.33,0.2,1.47,0.73,11.41,2.94,4.53,10.24,2.35,0.06,1.18,0.41,13.41,4.24,5.47,11.18,1.18,0.12,1.53,0.88,leagueTwo
139,Torino,2.7,2.5,A,A,2.9,1.5,6.5,2.5,4.5,10.0,3.08,4.38,12.77,1.92,0.0,0.92,0.38,13.92,5.38,4.15,11.15,1.92,0.0,0.92,0.38,9.46,3.77,3.62,12.08,2.54,0.15,1.31,0.54,15.46,4.85,7.15,9.62,1.54,0.08,1.54,0.77,seriea
35,Tottenham,8.35,8.2,A,A,8.5,8.5,7.0,9.0,6.5,15.31,5.62,8.31,10.46,1.46,0.0,2.15,1.0,12.46,4.69,5.85,12.77,2.31,0.15,1.77,0.92,13.77,5.31,6.62,11.85,2.08,0.08,1.92,1.15,13.69,4.31,5.46,13.54,2.54,0.08,1.15,0.77,prem
113,Toulouse,5.3,7.2,A,A,3.4,7.0,8.0,2.5,7.0,12.75,4.83,5.33,12.42,1.58,0.08,1.08,0.33,8.42,2.83,3.25,12.67,2.25,0.0,1.08,0.58,10.36,3.27,3.73,14.09,1.45,0.0,1.27,0.64,11.45,3.45,4.55,12.64,2.0,0.27,1.18,0.18,ligue1
30,Tranmere,4.7,6.7,A,A,2.7,5.5,7.5,0,4.5,14.25,3.75,5.94,12.62,1.88,0.0,0.81,0.44,11.19,2.88,3.31,12.06,2.62,0.06,1.0,0.56,10.13,3.2,4.87,10.87,2.33,0.33,0.6,0.33,15.0,5.87,5.07,10.27,1.67,0.07,2.2,0.67,leagueTwo
12,Twente,8.7,9.2,A,A,8.2,9.5,8,8.5,7.0,18.55,7.09,5.91,10.36,0.91,0.0,2.45,1.0,9.09,3.09,3.18,8.91,1.36,0.0,0.73,0.45,13.67,5.42,4.83,9.08,1.58,0.08,1.75,0.75,11.75,4.17,5.58,10.25,1.25,0.0,1.83,1.0,ered
135,Udinese,2.8,3.0,A,A,2.6,2,7.0,2,5.0,10.62,3.62,4.92,13.54,1.54,0.15,1.38,0.62,13.15,4.46,4.92,11.46,1.38,0.08,1.31,0.38,11.38,3.85,4.38,13.62,2.77,0.15,1.15,0.46,13.92,4.38,5.85,10.77,1.69,0.31,1.54,0.77,seriea
9,Ulm,5.45,7.3,A,A,3.6,7,7.5,1.5,5.0,13.8,4.8,4.6,9.6,2.5,0.1,1.3,0.8,10.9,3.3,4.8,14.5,3.9,0.3,1.3,0.1,10.92,3.58,3.92,12.08,2.08,0.17,0.92,0.5,16.17,4.58,6.08,13.75,2.5,0.0,1.42,0.67,bundesliga2
75,Union Berlin,4.15,6.6,A,A,1.7,6.5,7.0,1,4.5,14.0,3.91,4.18,12.36,2.64,0.0,1.0,0.82,10.0,3.45,3.91,10.91,2.0,0.18,1.0,0.73,12.5,3.5,5.25,13.67,2.25,0.08,0.83,0.33,13.92,5.25,5.5,8.42,1.33,0.0,2.0,0.75,bundesliga
8,Utrecht,4.85,5.5,A,A,4.2,5.0,7.5,4,5.0,15.18,4.27,4.91,10.18,1.18,0.09,1.55,0.73,10.55,4.45,4.55,11.45,2.55,0.18,1.91,0.73,12.25,4.92,4.58,9.25,1.58,0.0,2.08,0.75,15.75,5.42,6.0,10.42,1.83,0.17,1.25,0.58,ered
90,Valencia,3.95,6.6,A,A,1.3,6.5,7.0,0,6.5,11.62,3.85,6.62,12.23,2.23,0.08,1.38,0.69,10.08,3.54,3.92,12.54,3.0,0.15,1.31,0.62,8.0,2.08,4.25,12.17,2.08,0.0,0.58,0.25,11.58,4.25,5.58,11.58,1.33,0.08,2.0,1.17,laliga
93,Valladolid,0.8,0.7,A,A,0.9,0,3.5,0,4.5,9.33,2.17,3.5,13.17,3.0,0.17,0.58,0.17,14.42,4.17,5.83,12.0,3.0,0.0,1.58,0.58,7.23,2.54,3.54,12.69,2.69,0.15,0.69,0.15,18.08,6.92,5.0,12.92,2.54,0.15,3.08,1.31,laliga
103,Vallecano,4.2,6.6,A,A,1.8,6.5,7.0,1,5.0,15.17,5.17,4.83,13.5,2.17,0.17,1.42,0.58,12.83,4.83,3.83,11.08,1.92,0.08,1.33,0.42,10.77,2.69,5.23,15.23,2.92,0.08,0.77,0.31,12.31,3.69,5.77,10.69,2.23,0.15,0.77,0.38,laliga
142,Venezia,1.9,2.1,A,A,1.7,1,6.5,1,4.5,11.38,4.0,4.15,11.77,1.85,0.0,0.92,0.46,13.15,4.54,5.92,12.69,2.23,0.08,1.15,0.46,8.54,2.62,3.31,12.92,2.08,0.08,0.77,0.46,15.69,6.15,6.85,12.92,1.54,0.08,2.0,0.85,seriea
130,Verona,2.2,2.3,A,A,2.1,1.5,5.5,2,2.5,11.08,3.23,5.31,13.08,2.77,0.31,0.92,0.38,12.92,4.69,4.31,9.85,1.38,0.0,2.31,1.69,9.54,2.92,3.46,16.31,2.54,0.23,1.15,0.54,15.69,5.46,7.0,9.08,1.15,0.08,1.85,1.0,seriea
94,Villarreal,8.0,8.6,A,A,7.4,9.0,7.0,7.5,7.0,14.67,5.17,4.75,11.33,2.42,0.08,2.33,1.25,12.67,4.42,4.33,13.42,3.08,0.08,1.58,0.67,13.31,4.46,4.77,11.38,3.0,0.08,1.54,0.62,11.77,4.38,4.54,13.38,3.23,0.31,1.23,0.69,laliga
14,Waalwijk,2.6,2.6,A,A,2.6,2,5.0,2,5.0,11.82,4.64,5.0,8.18,1.55,0.27,1.45,0.73,15.27,5.27,6.82,9.55,1.36,0.0,1.64,0.64,12.5,4.25,3.92,10.0,1.0,0.25,1.25,0.33,17.5,6.33,6.92,6.75,0.92,0.08,2.42,1.58,ered
31,Walsall,8.1,8.2,A,A,8.0,8.5,8.0,8.0,8.0,15.06,4.94,6.41,11.06,2.24,0.0,2.35,0.65,8.0,2.53,3.18,9.06,2.06,0.06,1.24,0.35,12.79,4.43,6.5,12.36,1.71,0.07,1.36,0.29,8.64,2.86,4.14,9.71,1.36,0.07,0.93,0.57,leagueTwo
63,Watford,4.0,5.0,A,A,3.0,4.5,7.0,2.5,5.0,12.0,4.24,5.41,11.88,2.18,0.12,1.29,0.41,12.29,4.12,4.59,11.35,2.18,0.0,1.0,0.65,10.59,3.53,4.65,13.06,2.12,0.0,1.35,0.47,14.47,4.94,6.12,11.29,2.65,0.0,1.82,0.82,championship
80,Werder Bremen,3.6,3.5,A,A,3.7,2.5,7.5,3,6.5,12.18,3.82,5.09,9.45,2.36,0.27,1.36,0.73,13.82,4.64,4.55,13.36,2.73,0.09,1.82,0.91,10.58,4.0,4.5,10.5,2.0,0.17,1.67,0.67,13.58,5.75,5.17,11.67,1.83,0.25,2.25,1.33,bundesliga
56,West Brom,5.5,8.0,A,A,3.0,8.0,8.0,2,7.0,15.29,4.12,7.65,7.76,1.94,0.06,1.35,0.88,10.06,3.18,3.53,12.18,2.29,0.0,0.65,0.29,10.65,3.65,4.0,9.12,1.59,0.0,1.24,0.65,12.12,3.71,5.65,11.71,1.88,0.0,1.18,0.59,championship
26,West Ham,2.6,2.6,A,A,2.6,2.0,5.0,2,5.0,12.15,4.08,5.15,11.38,2.38,0.08,1.23,0.62,16.23,5.77,4.92,11.23,1.62,0.0,2.08,1.15,14.69,3.92,3.85,12.15,2.0,0.15,1.08,0.31,17.15,4.69,6.08,10.15,1.46,0.08,1.54,0.62,prem
98,Westerlo,5.85,8.0,A,A,3.7,9.5,7.0,2.5,4.5,18.46,6.85,7.31,8.62,2.46,0.15,2.08,0.92,11.54,4.08,5.38,10.62,1.85,0.0,1.46,0.92,13.69,6.08,4.15,11.15,3.31,0.08,1.38,0.69,16.69,6.23,6.31,10.23,2.08,0.08,2.0,0.92,jupiler
55,Wigan,5.05,6.2,A,A,3.9,3.5,8,1.5,5.5,11.27,3.47,5.2,10.87,1.8,0.0,0.87,0.53,8.13,3.47,4.53,12.47,2.4,0.0,1.13,0.4,9.29,3.07,3.71,15.14,2.5,0.07,1.0,0.5,13.36,4.43,3.86,12.07,1.86,0.14,0.93,0.43,leagueOne
16,Willem II,2.55,2.3,A,A,2.8,1.5,5.5,2.5,4.0,9.83,3.42,3.75,9.42,1.92,0.08,1.25,0.5,15.08,4.58,5.33,8.25,1.42,0.0,1.33,0.67,6.91,2.55,3.45,11.45,2.27,0.0,1.0,0.73,17.55,5.45,7.64,8.73,1.0,0.0,1.64,0.82,ered
73,Wolfsburg,5.8,7.1,A,A,4.5,7.0,7.5,4.5,4.5,13.58,4.92,5.0,10.08,2.0,0.08,1.83,0.33,11.58,4.5,4.75,11.67,2.42,0.17,1.83,0.92,11.64,4.27,4.64,11.82,3.36,0.09,2.18,1.27,15.91,5.36,5.82,10.64,2.09,0.0,1.36,0.45,bundesliga
38,Wolves,3.25,2.8,A,A,3.7,2,6.0,3.5,4.5,9.75,4.33,3.42,13.58,1.83,0.17,1.33,0.58,12.58,5.0,6.83,9.67,2.25,0.17,2.0,0.83,11.86,4.43,3.5,13.0,2.36,0.0,1.43,0.79,14.21,5.0,6.36,12.43,2.5,0.07,2.14,1.14,prem
56,Wrexham,6.8,7.4,A,A,6.2,8.0,7.0,5.0,7.0,12.81,4.69,4.44,10.56,1.56,0.0,1.94,0.94,11.75,3.06,5.44,10.0,1.81,0.0,0.75,0.38,11.07,3.0,4.93,12.07,2.14,0.0,1.0,0.71,10.07,3.36,4.64,9.79,2.21,0.07,0.93,0.5,leagueOne
67,Wycombe,7.45,7.4,A,A,7.5,6.5,8,9.0,6.5,12.21,4.43,4.86,11.43,1.29,0.07,1.43,0.5,8.79,3.21,3.93,12.36,2.71,0.14,0.71,0.36,12.0,4.75,4.38,12.0,1.69,0.06,2.25,1.0,10.5,3.44,5.38,13.88,1.88,0.0,1.31,0.62,leagueOne
17,Zwolle,2.4,3.0,A,A,1.8,2,7.0,1,5.0,11.5,3.5,5.08,11.17,1.58,0.08,1.5,0.5,13.67,4.92,5.08,12.33,1.83,0.0,1.42,0.5,8.09,3.18,2.82,10.09,1.27,0.18,0.82,0.64,14.55,5.18,6.55,10.73,1.45,0.09,1.64,0.64,ered
