,team,TotalElo,HomeTotalElo,HomeWins,AwayWins,AwayTotalElo,HomeAttackElo,HomeDefenseElo,AwayAttackElo,AwayDefenseElo,AttHS,AttHST,AttHC,AttHF,AttHY,AttHR,AttFTHG,AttHTHG,AttCHS,AttCHST,AttCHC,AttCHF,AttCHY,AttCHR,AttCFTHG,AttCHTHG,AttAS,AttAST,AttAC,AttAF,AttAY,AttAR,AttFTAG,AttHTAG,AttCAS,AttCAST,AttCAC,AttCAF,AttCAY,AttCAR,AttCFTAG,AttCHTAG,ser
48,Oxford,2.75,4.6,A,A,0.9,4,7.0,0,4.5,11.24,4.12,4.0,9.59,1.24,0.0,1.41,0.47,12.06,3.76,6.06,11.65,2.18,0.18,1.29,0.59,8.53,2.35,3.35,10.0,1.94,0.0,0.59,0.35,16.24,5.76,7.0,11.06,1.65,0.06,1.59,0.65,championship
5,PSV Eindhoven,9.65,9.7,A,A,9.6,10.0,8.5,10.0,8,21.17,9.33,8.75,7.08,0.33,0.08,3.33,1.75,8.67,3.0,3.25,8.0,1.42,0.17,0.83,0.42,17.0,6.27,6.27,9.09,1.45,0.0,2.82,0.91,9.18,3.64,3.55,9.09,1.36,0.09,1.45,0.55,ered
17,Paderborn,7.1,7.0,A,A,7.2,7.0,7.0,7.5,7.0,15.55,5.18,6.73,10.91,1.45,0.18,1.64,0.45,13.27,4.91,5.45,10.91,2.36,0.0,1.27,0.82,12.36,4.91,5.73,12.45,2.64,0.09,1.64,0.36,11.55,4.09,4.82,10.82,2.09,0.09,1.27,0.27,bundesliga2
89,Palermo,4.35,5.8,A,A,2.9,7.0,5.0,2,3.5,17.92,5.69,5.85,14.54,2.0,0.08,1.08,0.62,11.54,3.54,5.08,15.46,3.08,0.0,0.77,0.46,11.77,3.85,5.08,14.85,2.23,0.0,1.15,0.69,14.08,3.85,6.0,14.46,2.08,0.0,1.31,0.38,serieb
115,Paris SG,9.65,9.7,A,A,9.6,10.0,8.5,10.0,8.0,19.45,8.27,6.64,8.82,1.27,0.0,2.82,1.18,9.0,3.36,2.91,12.27,2.36,0.09,0.82,0.36,16.58,8.33,6.42,8.67,1.0,0.0,2.58,1.0,10.0,3.67,3.67,8.67,1.67,0.08,1.08,0.25,ligue1
126,Parma,2.6,3.0,A,A,2.2,2,7.0,1.5,5,12.43,4.14,4.0,10.64,1.93,0.07,1.43,0.57,13.64,4.64,5.57,14.07,2.93,0.14,1.64,0.57,11.33,3.5,5.58,9.0,1.67,0.25,1.0,0.5,16.67,4.83,7.25,11.17,1.58,0.08,1.83,0.67,seriea
52,Peterboro,5.4,5.6,A,A,5.2,3.5,7.0,2.5,7.0,10.19,4.44,4.69,9.19,1.5,0.12,1.75,0.94,12.81,4.69,5.69,13.75,1.44,0.0,1.62,0.94,10.27,3.93,4.4,9.6,2.33,0.13,1.27,0.67,13.4,4.6,6.0,12.6,2.13,0.0,2.13,0.8,leagueOne
72,Pisa,6.35,7.4,A,A,5.3,8.0,7.0,5,5.5,14.62,4.23,4.77,11.69,1.77,0.08,1.85,0.92,10.46,3.54,3.77,14.92,2.62,0.08,0.77,0.15,11.54,2.46,3.0,14.38,2.46,0.15,1.23,0.85,10.77,4.38,4.69,13.77,2.23,0.15,1.0,0.46,serieb
60,Plymouth,2.05,3.3,A,A,0.8,2.5,6.5,0,4.0,12.18,4.47,3.82,10.65,1.76,0.0,1.76,0.35,13.35,5.0,5.47,12.88,2.0,0.06,1.65,0.82,7.0,1.94,2.35,12.88,1.82,0.24,0.35,0.18,18.88,6.59,7.47,10.0,1.12,0.0,2.35,1.06,championship
41,Port Vale,5.6,6.3,A,A,4.9,6,6.5,2.5,6.5,11.93,3.64,5.0,12.07,2.0,0.14,1.36,0.57,11.21,3.07,5.0,11.57,1.93,0.07,0.93,0.29,11.69,3.69,5.12,11.06,1.94,0.12,1.25,0.5,11.94,4.12,5.0,10.19,1.5,0.12,1.19,0.44,leagueTwo
124,Porto,8.1,8.2,A,A,8.0,8.5,8.0,9.5,7.0,17.27,7.09,7.27,13.45,1.45,0.0,2.45,0.73,7.27,2.09,3.0,13.91,2.18,0.55,0.36,0.18,12.82,4.45,4.55,13.64,3.91,0.09,1.73,0.73,7.82,2.73,2.55,12.64,2.45,0.27,1.27,0.55,portugal
55,Portsmouth,4.5,7.0,A,A,2.0,7.0,7.0,1.5,4.0,13.82,4.53,7.82,12.29,2.0,0.0,1.53,0.71,10.35,3.65,4.29,11.88,1.94,0.06,0.94,0.41,8.65,2.82,3.82,12.35,2.71,0.06,1.0,0.65,17.41,6.41,7.18,10.94,1.41,0.06,2.35,1.29,championship
42,Preston,4.0,5.8,A,A,2.2,5.5,7.0,1.5,5.0,11.47,3.41,4.59,12.71,2.53,0.06,1.12,0.41,10.59,3.18,4.88,12.82,1.76,0.06,0.82,0.41,9.06,3.41,3.59,14.18,2.35,0.12,1.0,0.47,12.76,4.47,5.59,11.12,1.35,0.06,1.59,0.76,championship
18,Preußen Münster,3.7,4.3,A,A,3.1,1,6.5,2.5,3.5,10.55,3.27,4.09,11.82,2.91,0.0,0.91,0.55,13.27,4.36,5.45,11.0,2.45,0.09,1.18,0.36,12.09,4.45,3.82,14.09,2.64,0.0,1.27,0.55,15.09,4.55,6.45,12.0,1.73,0.0,1.73,0.82,bundesliga2
49,QPR,5.45,8.8,A,A,2.1,9.0,8,1,6.5,14.65,5.18,6.12,9.88,1.65,0.0,1.53,0.76,9.71,3.35,4.65,12.65,1.71,0.24,1.29,0.71,9.29,2.71,4.71,10.41,2.12,0.12,0.82,0.18,13.94,4.94,7.24,11.88,1.59,0.0,1.24,0.53,championship
71,RB Leipzig,6.0,7.9,A,A,4.1,8.0,7.5,4.0,4.5,13.36,5.64,6.36,11.09,1.64,0.18,1.91,0.82,10.64,3.91,3.82,10.91,2.0,0.0,1.18,0.91,9.5,3.58,2.5,11.83,2.25,0.17,1.42,1.0,17.58,5.42,6.17,10.25,2.75,0.0,1.5,0.58,bundesliga
114,Rangers,8.1,9.1,A,A,7.1,10.0,8.5,8.0,6.5,22.46,7.62,7.54,10.08,1.23,0.0,2.69,1.31,6.38,1.46,3.31,9.62,1.85,0.0,0.31,0.23,16.38,6.15,6.15,11.85,2.46,0.08,1.46,0.62,11.69,3.85,5.46,9.54,2.38,0.0,1.23,0.69,scotchamp
65,Reading,4.75,6.0,A,A,3.5,4.5,7.0,2,4.5,12.13,4.53,3.53,11.33,1.47,0.0,1.87,0.73,12.2,4.47,6.4,12.27,2.4,0.07,0.93,0.53,11.06,3.62,4.0,12.12,1.69,0.12,1.12,0.62,15.0,5.81,6.88,10.56,1.38,0.0,1.81,1.0,leagueOne
99,Real Madrid,9.1,9.8,A,A,8.4,10.0,9.0,8.5,8,18.0,7.33,7.0,8.42,1.33,0.0,2.58,1.17,9.08,2.5,3.67,13.58,1.92,0.08,0.92,0.25,15.38,5.77,4.62,9.08,1.46,0.23,1.77,0.62,9.38,3.38,4.15,14.23,2.46,0.15,0.92,0.31,laliga
11,Regensburg,2.85,3.0,A,A,2.7,0,5.0,0,4.5,11.83,3.0,5.58,14.58,2.33,0.25,0.58,0.33,13.5,4.83,6.67,13.58,2.25,0.08,1.25,0.5,11.0,2.8,3.3,12.4,2.4,0.1,0.7,0.4,16.0,6.1,6.0,11.4,2.0,0.0,3.3,1.5,bundesliga2
